x	 y
1.7895649903	-2.1058918081
1.7691268479	-1.9813066263
1.7499471681	-1.8542285981
1.7320500103	-1.7248305390
1.7154577349	-1.5932794626
1.7001910599	-1.4597369378
1.6862691133	-1.3243594719
1.6737094814	-1.1872989165
1.6625282538	-1.0487028917
1.6527400629	-0.9087152270
1.6443581202	-0.7674764161
1.6373942467	-0.6251240834
1.6318588998	-0.4817934603
1.6277611943	-0.3376178715
1.6251089194	-0.1927292275
1.6239085501	-0.0472585257
1.6241652539	0.0986636438
1.6258828922	0.2449065851
1.6290640170	0.3913389795
1.6337098616	0.5378283624
1.6398203269	0.6842405967
1.6473939616	0.8304393412
1.6564279381	0.9762855162
1.6669180217	1.1216367662
1.6788585359	1.2663469205
1.6922423208	1.4102654542
1.7070606875	1.5532369486
1.7233033661	1.6951005563
1.7409584488	1.8356894705
1.7600123280	1.9748304028
1.7804496283	2.1123430724
1.8022531349	2.2480397117
1.8254037156	2.3817245910
1.8498802393	2.5131935697
1.8756594895	2.6422336788
1.9027160747	2.7686227421
1.9310223338	2.8921290435
1.9605482399	3.0125110490
1.9912613006	3.1295171929
2.0231264570	3.2428857374
2.0561059820	3.3523447172
2.0901593776	3.4576119808
2.1252432739	3.5583953395
2.1613113301	3.6543928382
2.1983141387	3.7452931596
2.2361991344	3.8307761762
2.2749105094	3.9105136628
2.3143891368	3.9841701824
2.3545725037	4.0514041580
2.3953946559	4.1118691422
